prodcatg,mode,detector,date,n,edge_med,full_med,row_struct,col_struct
CAL.R-BIA,FAST,3.A.Red,2026-06-30,11,1755.0,1755.0,0.188,0.525
CAL.R-BIA,FAST,3.B.Blue,2026-04-07,13,1069.0,1069.0,0.347,0.311
CAL.R-BIA,FAST,3.B.Blue,2026-05-02,1,1068.0,1068.0,0.305,0.299
CAL.R-BIA,FAST,3.B.Blue,2026-06-30,11,1069.0,1069.0,0.341,0.328
CAL.R-BIA,FAST,3.B.Green,2026-04-07,13,870.0,870.0,0.225,0.422
CAL.R-BIA,FAST,3.B.Green,2026-05-02,1,868.0,868.0,0.211,0.418
CAL.R-BIA,FAST,3.B.Green,2026-06-30,11,871.0,872.0,0.23,0.437
CAL.R-BIA,FAST,3.B.Red,2026-04-07,13,1488.0,1489.0,1.508,0.348
CAL.R-BIA,FAST,3.B.Red,2026-05-02,1,1479.0,1481.0,1.488,0.381
CAL.R-BIA,FAST,3.B.Red,2026-06-30,11,1492.0,1493.0,1.518,0.365
CAL.R-BIA,FAST,4.A.Green,2026-04-07,13,866.0,867.0,1.007,0.377
CAL.R-BIA,FAST,4.A.Green,2026-05-02,1,883.0,884.0,1.008,0.374
CAL.R-BIA,FAST,4.A.Green,2026-06-30,11,861.0,863.0,0.886,0.389
CAL.R-BIA,FAST,4.A.Red,2026-04-07,13,1536.0,1521.0,9.592,45.567
CAL.R-BIA,FAST,4.A.Red,2026-05-02,1,1534.0,1522.0,4.908,11.551
CAL.R-BIA,FAST,4.A.Red,2026-06-30,11,1521.0,1499.0,147.01,424.814
CAL.R-BIA,FAST,4.B.Blue,2026-04-07,13,870.0,870.0,0.375,0.287
CAL.R-BIA,FAST,4.B.Blue,2026-05-02,1,884.0,884.0,0.365,0.278
CAL.R-BIA,FAST,4.B.Blue,2026-06-30,11,865.0,865.0,0.377,0.294
CAL.R-BIA,FAST,4.B.Green,2026-04-07,13,795.0,796.0,1.348,0.424
CAL.R-BIA,FAST,4.B.Green,2026-05-02,1,815.0,816.0,1.298,0.411
CAL.R-BIA,FAST,4.B.Green,2026-06-30,11,790.0,791.0,1.369,0.464
CAL.R-BIA,FAST,4.B.Red,2026-04-07,13,1922.0,1922.0,0.339,0.551
CAL.R-BIA,FAST,4.B.Red,2026-05-02,1,1946.0,1947.0,0.294,0.523
CAL.R-BIA,FAST,4.B.Red,2026-06-30,11,1909.0,1910.0,0.327,0.563
CAL.R-BIA,SLOW,1.A.Green,2026-04-07,11,692.0,695.0,0.994,0.163
CAL.R-BIA,SLOW,1.A.Green,2026-06-30,11,693.0,695.0,0.988,0.147
CAL.R-BIA,SLOW,1.A.Red,2026-04-07,11,1664.0,1664.0,0.321,0.191
CAL.R-BIA,SLOW,1.A.Red,2026-06-30,11,1662.0,1662.0,0.317,0.194
CAL.R-BIA,SLOW,1.B.Blue,2026-04-07,11,703.0,703.0,0.095,0.097
CAL.R-BIA,SLOW,1.B.Blue,2026-06-30,11,703.0,703.0,0.125,0.117
CAL.R-BIA,SLOW,1.B.Green,2026-04-07,11,660.0,660.0,0.117,0.109
CAL.R-BIA,SLOW,1.B.Green,2026-06-30,11,659.0,659.0,0.126,0.112
CAL.R-BIA,SLOW,1.B.Red,2026-04-07,11,1676.0,1676.0,0.324,0.226
CAL.R-BIA,SLOW,1.B.Red,2026-06-30,11,1677.0,1677.0,0.304,0.243
CAL.R-BIA,SLOW,2.A.Blue,2026-04-07,11,549.0,549.0,0.095,0.094
CAL.R-BIA,SLOW,2.A.Blue,2026-06-30,11,549.0,549.0,0.116,0.119
CAL.R-BIA,SLOW,2.A.Green,2026-04-07,11,636.0,636.0,0.138,0.094
CAL.R-BIA,SLOW,2.A.Green,2026-06-30,11,636.0,636.0,0.15,0.109
